Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00773001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
773001;1;01/07/2011;1;30,0;68,4;1;7;1;1;1;;0;30,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,7;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;2,5;4,0;0,0;0,0;0,0;0,0;0,0;0,5;0,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/06/2011;1;85,0;136,3;28;7;1;1;1;;0;8,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;20,5;0,0;0,0;0,0;0,0;0,0;0,0;20,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;85,0;0,9;1,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/05/2011;1;40,7;166,2;20;12;1;1;1;;0;40,5;7,6;0,9;0,0;0,0;0,0;0,0;15,0;11,0;17,0;0,0;0,0;0,5;10,6;0,9;0,0;0,0;0,0;0,0;40,7;0,0;0,6;20,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/04/2011;1;50,0;199,1;15;17;1;1;1;;0;0,0;0,0;0,0;7,0;10,0;10,0;10,0;10,0;23,7;0,0;0,0;0,0;0,0;10,0;50,0;20,0;0,0;0,0;0,6;0,0;10,0;0,0;0,9;20,0;0,0;0,3;0,5;7,2;8,9;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/03/2011;1;34,0;238,7;28;20;1;1;1;;0;11,0;17,0;1,7;0,0;0,0;15,0;15,0;0,0;17,0;0,0;0,0;0,0;1,1;12,5;12,5;20,0;1,9;0,0;2,0;0,0;0,0;10,0;30,0;10,0;10,0;0,0;9,0;34,0;0,0;7,0;2,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/02/2011;1;20,0;247,9;3;19;1;1;1;;0;5,0;10,0;20,0;20,0;0,0;0,0;20,0;20,0;8,0;12,8;15,0;15,0;0,0;0,0;0,0;0,0;1,0;10,0;16,0;15,0;15,0;0,0;12,5;12,5;9,1;0,0;0,0;11,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
773001;1;01/01/2011;1;30,0;116,8;21;11;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;20,0;7,0;12,8;30,0;0,0;0,0;10,0;0,0;10,0;5,0;10,0;5,0;0,0;5,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/12/2010;1;20,0;80,0;14;;1;1;0;;0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;20,0;10,0;0,0;0,0;2,0;0,0;0,9;1,0;2,0;3,1;10,0;0,0;0,0;0,0;0,0;10,0;20,0;0,0;1;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/11/2010;1;20,0;63,8;26;12;1;1;1;;0;0,9;1,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;10,0;0,5;0,0;0,0;0,0;0,3;1,0;0,0;0,0;4,0;9,9;6,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/10/2010;1;30,6;177,4;22;20;1;1;1;;0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;10,9;0,0;0,5;0,9;0,0;0,7;30,0;0,9;0,6;10,6;2,0;20,5;1,0;30,6;1,0;8,0;0,7;7,0;0,0;0,9;0,0;0,6;30,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/09/2010;1;20,0;51,4;6;6;1;1;1;;0;0,0;0,0;1,0;0,0;0,0;20,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;20,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/08/2010;1;10,0;10,0;5;1;1;1;1;;0;0,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/07/2010;1;20,0;53,7;13;8;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;1,0;0,0;0,0;0,0;20,0;0,0;0,5;0,3;0,0;1,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
773001;1;01/06/2010;1;2,0;4,7;17;4;1;1;1;;0;0,0;0,9;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
773001;1;01/05/2010;1;60,5;88,9;18;11;1;1;1;;0;20,0;0,0;0,0;1,0;0,0;0,9;0,4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;60,5;0,4;0,9;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;0,8;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
